gene,mean_bulge,mean_dent,lfc,p_geomnull,null_sd,interface
SHISA6 | AMEX60DD030578,0.2700389,0.20937896,0.060659945,,,VLMC
EIF4G2 | AMEX60DD004812,1.2996893,1.2392637,0.06042564,,,VLMC
CCH79_00001654[nr]|PGAM2[hs] | AMEX60DD052945,1.240243,1.1798635,0.060379505,,,VLMC
ZGC:77650[nr]|ARF5[hs] | AMEX60DDU001002876,0.7529104,0.6927413,0.0601691,,,VLMC
ARHGAP1 | AMEX60DD005283,0.5043179,0.44418722,0.060130656,,,VLMC
UCHL1[hs] | AMEX60DD045638,0.99449223,0.9348863,0.059605956,,,VLMC
PTPRN2 | AMEX60DD021642,0.74407387,0.6844822,0.05959165,,,VLMC
NDRG2 | AMEX60DD008501,0.99969506,0.94020075,0.059494317,,,VLMC
UBC | AMEX60DD054762,1.9627078,1.9032187,0.05948901,,,VLMC
ATF4 | AMEX60DD029230,0.5060129,0.44662714,0.059385777,,,VLMC
SNAP91 | AMEX60DDU001001719,0.44359913,0.38421705,0.05938208,,,VLMC
PPP3CA | AMEX60DD044266,0.85162616,0.79227847,0.05934769,,,VLMC
GABARAPL2.L[nr]|GABARAPL2[hs] | AMEX60DDU001007492,0.48763087,0.42829165,0.059339225,,,VLMC
HDGF | AMEX60DD015709,0.38172007,0.3224195,0.05930057,,,VLMC
YWHAE | AMEX60DD054952,1.2892647,1.2300098,0.059254885,,,VLMC
AMEX60DDU001007352,0.38825923,0.32911402,0.059145212,,,VLMC
ALDOC[hs] | AMEX60DD054868,1.2996931,1.2405764,0.05911672,,,VLMC
AMEX60DDU001010113,3.730239,3.6711597,0.05907917,,,VLMC
ATP1B1 | AMEX60DD047554,1.6631129,1.6041546,0.058958292,,,VLMC
SERBP1 | AMEX60DD019311,1.0397333,0.9809814,0.05875188,,,VLMC
AMEX60DD028059,1.1155608,1.0568429,0.058717847,,,VLMC
NRXN3 | AMEX60DD011291,0.31687006,0.25836942,0.058500648,,,VLMC
GALT | AMEX60DD041568,1.549552,1.4911035,0.058448434,,,VLMC
PFDN4 | AMEX60DD027379,0.32453284,0.2661846,0.05834824,,,VLMC
SYBU | AMEX60DD040332,0.47863713,0.4204272,0.058209926,,,VLMC
NCAM2 | AMEX60DD047429,0.39176452,0.33362964,0.058134884,,,VLMC
LOC104563148[nr]|ABCG2[hs] | AMEX60DDU001034213,1.5599539,1.5018609,0.05809307,,,VLMC
HNRNPUL1 | AMEX60DD024475,0.92704713,0.8689843,0.05806285,,,VLMC
FASN | AMEX60DD031514,0.5913665,0.5333165,0.058050036,,,VLMC
SGCB.L[nr]|SGCB[hs] | AMEX60DD045570,0.27606067,0.21830618,0.057754487,,,VLMC
KIF5A | AMEX60DD029773,0.45422596,0.39672896,0.057496995,,,VLMC
AMEX60DDU001033882,3.8702638,3.8128438,0.057420015,,,VLMC
FSIP2 | AMEX60DD038121,1.543277,1.4860692,0.057207823,,,VLMC
VAMP1 | AMEX60DDU001000332,1.0940459,1.037211,0.056834936,,,VLMC
CNRIP1 | AMEX60DD035850,0.40386933,0.34711847,0.056750864,,,VLMC
UNC5D | AMEX60DD002483,0.34444287,0.28812215,0.056320727,,,VLMC
AMEX60DD013527,1.3623816,1.3061924,0.05618918,,,VLMC
RAB18 | AMEX60DD021850,0.5406875,0.48482597,0.055861533,,,VLMC
AMEX60DD024842,0.60289764,0.5473725,0.055525124,,,VLMC
EIF1AX | AMEX60DD048239,0.8964711,0.84100103,0.05547005,,,VLMC
BTF3L4[hs] | AMEX60DD019621,0.6073722,0.5519294,0.05544281,,,VLMC
MLLT11 | AMEX60DD014773,0.8647234,0.8093885,0.055334866,,,VLMC
ODC1.L[nr]|ODC1[hs] | AMEX60DD033244,0.45948067,0.4043613,0.055119365,,,VLMC
PSMD3 | AMEX60DD010326,0.42921212,0.37412673,0.05508539,,,VLMC
LOC115082327[nr]|CCAR2[hs] | AMEX60DDU001006922,0.40152344,0.3465922,0.054931253,,,VLMC
EXOC5 | AMEX60DD011128,0.33538052,0.28049132,0.054889202,,,VLMC
MAP6 | AMEX60DDU001001345,0.6598043,0.6050094,0.054794908,,,VLMC
DLK1[nr] | AMEX60DD011343,0.50088906,0.44616583,0.054723233,,,VLMC
PSPH | AMEX60DD054316,0.17922612,0.12459338,0.05463274,,,VLMC
EGR1 | AMEX60DD027946,0.51734847,0.46274227,0.0546062,,,VLMC
GET3.L[nr]|GET3[hs] | AMEX60DD031920,0.4035697,0.34908044,0.054489255,,,VLMC
TOMM7 | AMEX60DD022091,0.5062505,0.4521992,0.05405131,,,VLMC
REC114 | AMEX60DD003886,0.76100546,0.7069661,0.05403936,,,VLMC
AMEX60DD000503,1.133415,1.0793831,0.05403185,,,VLMC
AMEX60DD052299,0.3486315,0.2947574,0.053874105,,,VLMC
PSMD12 | AMEX60DD031133,0.37151405,0.317693,0.053821057,,,VLMC
DNAJA1 | AMEX60DD044130,0.7707742,0.7170279,0.053746283,,,VLMC
DHRS3 | AMEX60DD052111,0.5610395,0.5073333,0.05370623,,,VLMC
TPD52L1 | AMEX60DD034735,1.0304462,0.97687936,0.053566813,,,VLMC
LOC115097266[nr] | AMEX60DD051009,0.83794874,0.78446585,0.05348289,,,VLMC
GRIA2[nr] | AMEX60DD045146,0.92273337,0.8693711,0.05336225,,,VLMC
RHEB | AMEX60DD021418,0.34442317,0.29111865,0.053304523,,,VLMC
