gene,mean_bulge,mean_dent,lfc,p_geomnull,null_sd,interface
SRD5A1,0.033447716,0.037154064,-0.0037063472,,,tumor|nontumor
PRKACA,0.040390372,0.04409718,-0.0037068091,,,tumor|nontumor
MBD2,0.0884996,0.0922094,-0.0037098005,,,tumor|nontumor
COMMD6,0.06470153,0.06842153,-0.0037200004,,,tumor|nontumor
PSME1,0.035304047,0.039028022,-0.0037239753,,,tumor|nontumor
MRPL33,0.057805266,0.061533757,-0.0037284903,,,tumor|nontumor
GNB4,0.03161841,0.03535526,-0.0037368499,,,tumor|nontumor
ZMPSTE24,0.06827593,0.07201325,-0.003737323,,,tumor|nontumor
DNPH1,0.030175544,0.033922385,-0.003746841,,,tumor|nontumor
PLSCR1,0.057590384,0.06133907,-0.0037486851,,,tumor|nontumor
MRPS12,0.032158747,0.035908766,-0.0037500188,,,tumor|nontumor
CDKN2AIPNL,0.02619619,0.029963149,-0.0037669595,,,tumor|nontumor
ISCU,0.052661452,0.056428887,-0.0037674345,,,tumor|nontumor
PKMYT1,0.02234627,0.026117891,-0.0037716217,,,tumor|nontumor
GSTP1,0.53480464,0.53859854,-0.0037938952,,,tumor|nontumor
DHTKD1,0.034597192,0.038405515,-0.0038083233,,,tumor|nontumor
CBX5,0.024068844,0.027904395,-0.0038355514,,,tumor|nontumor
TXNIP,0.053462494,0.05730287,-0.0038403757,,,tumor|nontumor
TMPO,0.03229999,0.036150765,-0.003850773,,,tumor|nontumor
TK1,0.030078266,0.03392979,-0.0038515255,,,tumor|nontumor
SNHG19,0.027169256,0.031031804,-0.0038625486,,,tumor|nontumor
ITM2C,0.027196122,0.031063935,-0.0038678125,,,tumor|nontumor
LIPA,0.027179925,0.031049015,-0.0038690902,,,tumor|nontumor
HES2,0.038559493,0.04243195,-0.003872458,,,tumor|nontumor
AP3D1,0.053304557,0.05718366,-0.0038791038,,,tumor|nontumor
MCM5,0.023607334,0.02748941,-0.0038820766,,,tumor|nontumor
SUMO3,0.07553013,0.07942168,-0.00389155,,,tumor|nontumor
CCT8,0.043272384,0.047171496,-0.0038991123,,,tumor|nontumor
PDCD2,0.044609677,0.04851048,-0.0039008036,,,tumor|nontumor
MDH1,0.06286588,0.06677189,-0.0039060041,,,tumor|nontumor
ARF3,0.06970333,0.0736184,-0.003915064,,,tumor|nontumor
NDUFB11,0.0467512,0.050678473,-0.003927272,,,tumor|nontumor
NDUFA13,0.035655674,0.0395939,-0.003938228,,,tumor|nontumor
ATP5PO,0.053364616,0.057309728,-0.003945112,,,tumor|nontumor
NONO,0.051054876,0.055046875,-0.0039919987,,,tumor|nontumor
RRBP1,0.067904435,0.0719038,-0.0039993674,,,tumor|nontumor
ATP5F1B,0.10375368,0.10776334,-0.004009664,,,tumor|nontumor
SSBP1,0.063525684,0.06753984,-0.0040141568,,,tumor|nontumor
LRP8,0.020811219,0.024831273,-0.004020054,,,tumor|nontumor
ATP5PF,0.08212963,0.086152546,-0.0040229186,,,tumor|nontumor
RPN1,0.09716394,0.10119831,-0.00403437,,,tumor|nontumor
TRIM28,0.06888556,0.0729314,-0.004045844,,,tumor|nontumor
ATP5MK,0.07713658,0.08119672,-0.0040601343,,,tumor|nontumor
CSE1L,0.047560766,0.05162996,-0.004069194,,,tumor|nontumor
TPGS2,0.02997131,0.03404956,-0.0040782485,,,tumor|nontumor
NRARP,0.038731027,0.042818114,-0.0040870868,,,tumor|nontumor
MCM2,0.023243358,0.027332006,-0.0040886477,,,tumor|nontumor
