gene,mean_bulge,mean_dent,lfc,p_geomnull,null_sd,interface
BEX2,0.08052555,0.084456556,-0.0039310083,,,molecular layer|rest
CAMTA1,0.12291728,0.12686379,-0.003946513,,,molecular layer|rest
SQSTM1,0.08256143,0.08653388,-0.0039724484,,,molecular layer|rest
KIF5C,0.18459022,0.1886824,-0.0040921867,,,molecular layer|rest
PRDX2,0.09759435,0.101886675,-0.004292324,,,molecular layer|rest
ATRX,0.078506045,0.082838595,-0.00433255,,,molecular layer|rest
SH3GL2,0.11478307,0.11912884,-0.004345767,,,molecular layer|rest
SGK1,0.08265123,0.08700684,-0.0043556094,,,molecular layer|rest
NR2F1,0.08431857,0.08868162,-0.0043630525,,,molecular layer|rest
HECTD1,0.10350424,0.10791518,-0.0044109374,,,molecular layer|rest
PHPT1,0.11569899,0.12017275,-0.0044737533,,,molecular layer|rest
NOP53,0.07614053,0.08071501,-0.0045744777,,,molecular layer|rest
DKK3,0.0660831,0.070684604,-0.004601501,,,molecular layer|rest
AKT3,0.09035175,0.09495473,-0.004602976,,,molecular layer|rest
APBB1,0.07021534,0.07481983,-0.004604496,,,molecular layer|rest
PEA15,0.11052188,0.115283445,-0.0047615618,,,molecular layer|rest
PSMA7,0.08722042,0.09198881,-0.0047683865,,,molecular layer|rest
COG5,0.08224182,0.08702433,-0.004782513,,,molecular layer|rest
SMDT1,0.119453885,0.124299735,-0.00484585,,,molecular layer|rest
BEX1,0.07270102,0.07767831,-0.004977286,,,molecular layer|rest
PRKG1,0.07660945,0.08159295,-0.0049834996,,,molecular layer|rest
NDUFS4,0.08120933,0.086251296,-0.0050419644,,,molecular layer|rest
ATP1A3,0.08655883,0.09166312,-0.0051042885,,,molecular layer|rest
ABI2,0.092981026,0.098093025,-0.005112,,,molecular layer|rest
LRP1,0.0686686,0.07390724,-0.005238645,,,molecular layer|rest
ARL2,0.06881364,0.07417453,-0.005360894,,,molecular layer|rest
PI4KA,0.06635065,0.07172717,-0.005376525,,,molecular layer|rest
PPP1R36,0.057902504,0.06331462,-0.005412113,,,molecular layer|rest
CHD2,0.07227258,0.07776795,-0.005495377,,,molecular layer|rest
GABRG2,0.119001105,0.124564685,-0.0055635795,,,molecular layer|rest
CLASP2,0.07648551,0.08205495,-0.005569443,,,molecular layer|rest
NEFL,0.069133826,0.07471343,-0.0055796057,,,molecular layer|rest
SNTG1,0.09077078,0.09640229,-0.0056315064,,,molecular layer|rest
PTGR1,0.08355724,0.08921634,-0.005659096,,,molecular layer|rest
GDI1,0.07359094,0.07926336,-0.0056724176,,,molecular layer|rest
MAPK10,0.07258756,0.078298435,-0.0057108775,,,molecular layer|rest
NUCKS1,0.12983064,0.13559513,-0.0057644844,,,molecular layer|rest
STXBP1,0.10616564,0.11195009,-0.005784452,,,molecular layer|rest
GPM6B,0.09376571,0.099580124,-0.0058144107,,,molecular layer|rest
ENO2,0.15751866,0.16347891,-0.005960256,,,molecular layer|rest
HNRNPC,0.07195788,0.07792077,-0.0059628934,,,molecular layer|rest
GLUL,0.07647538,0.08244054,-0.0059651583,,,molecular layer|rest
ATP6V0B,0.104237884,0.110237986,-0.0060001016,,,molecular layer|rest
PSMB1,0.1321338,0.1381965,-0.0060627013,,,molecular layer|rest
FOXN2,0.05963627,0.06573851,-0.006102238,,,molecular layer|rest
RAC1,0.08074152,0.08685993,-0.0061184093,,,molecular layer|rest
TCF4,0.15800516,0.16415592,-0.0061507523,,,molecular layer|rest
UQCRC1,0.069502264,0.07570479,-0.0062025264,,,molecular layer|rest
WBP2,0.0682208,0.07444579,-0.00622499,,,molecular layer|rest
XRCC6,0.08500607,0.09124397,-0.0062378943,,,molecular layer|rest
COPG2,0.11653014,0.122772336,-0.0062421933,,,molecular layer|rest
GAP43,0.093665406,0.09991386,-0.006248452,,,molecular layer|rest
EIF3K,0.09154983,0.09782201,-0.006272182,,,molecular layer|rest
EFR3A,0.090439156,0.09679724,-0.006358087,,,molecular layer|rest
LRRTM4,0.09928557,0.10571285,-0.0064272806,,,molecular layer|rest
DST,0.08327033,0.08973431,-0.0064639747,,,molecular layer|rest
VDAC2,0.07348379,0.08006956,-0.0065857694,,,molecular layer|rest
SMIM13,0.076397695,0.082988665,-0.00659097,,,molecular layer|rest
GNB1,0.0709395,0.077574894,-0.00663539,,,molecular layer|rest
GTF2I,0.08299739,0.08963736,-0.0066399723,,,molecular layer|rest
RAB6B,0.0733049,0.07995657,-0.0066516697,,,molecular layer|rest
MTCH1,0.10697363,0.11364404,-0.006670408,,,molecular layer|rest
NSF,0.11560654,0.12230384,-0.0066973045,,,molecular layer|rest
NDUFAB1,0.10344357,0.11027225,-0.0068286806,,,molecular layer|rest
YWHAB,0.17372477,0.18062842,-0.0069036484,,,molecular layer|rest
CFDP1,0.08172395,0.08862781,-0.006903857,,,molecular layer|rest
NDUFS7,0.1035625,0.11050275,-0.006940253,,,molecular layer|rest
NDUFC2,0.07491603,0.08204501,-0.0071289837,,,molecular layer|rest
AP2M1,0.08522497,0.09246309,-0.00723812,,,molecular layer|rest
TSPAN3,0.08932455,0.09662944,-0.007304892,,,molecular layer|rest
RAN,0.07797265,0.085290834,-0.007318184,,,molecular layer|rest
NDUFA12,0.09341965,0.10085355,-0.0074338987,,,molecular layer|rest
PAFAH1B1,0.09269588,0.100262895,-0.0075670183,,,molecular layer|rest
FCHSD2,0.06751034,0.07508034,-0.007570006,,,molecular layer|rest
PINK1,0.083364055,0.090957865,-0.0075938106,,,molecular layer|rest
ATP8,0.06034859,0.06796338,-0.0076147877,,,molecular layer|rest
PPA1,0.06905089,0.07678875,-0.00773786,,,molecular layer|rest
NDUFB6,0.07300508,0.08077882,-0.007773742,,,molecular layer|rest
PLCB1,0.07545718,0.08335254,-0.007895365,,,molecular layer|rest
SULT4A1,0.062099695,0.07002708,-0.007927388,,,molecular layer|rest
NDUFA7,0.07998332,0.08791686,-0.007933542,,,molecular layer|rest
ATP5G3,0.07333024,0.08127523,-0.007944994,,,molecular layer|rest
DBI,0.12313715,0.13121133,-0.008074172,,,molecular layer|rest
PEBP1,0.5366081,0.5446923,-0.008084178,,,molecular layer|rest
GADD45GIP1,0.07898966,0.087089665,-0.008100003,,,molecular layer|rest
ITM2B,0.31805956,0.32635874,-0.008299172,,,molecular layer|rest
DDX17,0.108300224,0.11662424,-0.00832402,,,molecular layer|rest
DGKB,0.0833397,0.091695346,-0.008355647,,,molecular layer|rest
ZFAND5,0.071555704,0.07996306,-0.008407354,,,molecular layer|rest
SON,0.07002455,0.07844275,-0.008418202,,,molecular layer|rest
NAA38,0.07409024,0.08253416,-0.008443914,,,molecular layer|rest
TMEM50B,0.06185697,0.07039858,-0.008541606,,,molecular layer|rest
UCHL1,0.17561288,0.18420139,-0.008588508,,,molecular layer|rest
SNX3,0.08111182,0.089716114,-0.008604296,,,molecular layer|rest
SOD2,0.0688377,0.077456445,-0.008618742,,,molecular layer|rest
QDPR,0.08032548,0.08898056,-0.008655086,,,molecular layer|rest
PLEKHB1,0.07218742,0.08088256,-0.008695133,,,molecular layer|rest
SRP14,0.06611223,0.07482398,-0.008711755,,,molecular layer|rest
TMA7,0.06591803,0.07467123,-0.008753203,,,molecular layer|rest
CHGB,0.17969973,0.18850213,-0.008802399,,,molecular layer|rest
MRPL53,0.078891195,0.08781082,-0.0089196265,,,molecular layer|rest
KIF5A,0.09189181,0.10081416,-0.008922353,,,molecular layer|rest
NAPB,0.1051986,0.114133544,-0.008934945,,,molecular layer|rest
MAGED1,0.07884529,0.087792225,-0.008946933,,,molecular layer|rest
NDFIP1,0.07585661,0.08483671,-0.008980095,,,molecular layer|rest
PCDH9,0.1439192,0.15301198,-0.009092778,,,molecular layer|rest
SEC62,0.11660851,0.1258007,-0.009192191,,,molecular layer|rest
COX17,0.08292514,0.09217937,-0.009254232,,,molecular layer|rest
UQCRB,0.069070734,0.07838288,-0.009312145,,,molecular layer|rest
ATP6AP1,0.074205,0.08355336,-0.009348355,,,molecular layer|rest
CPLX1,0.09578038,0.10513092,-0.009350538,,,molecular layer|rest
CYC1,0.11574697,0.1251511,-0.00940413,,,molecular layer|rest
NDUFA8,0.07767031,0.087109745,-0.009439431,,,molecular layer|rest
VPS28,0.06929499,0.07881374,-0.00951875,,,molecular layer|rest
ALMS1,0.08726625,0.09681024,-0.009543985,,,molecular layer|rest
H2AFZ,0.07049587,0.08005284,-0.009556964,,,molecular layer|rest
ATP6V0A1,0.07008227,0.07965616,-0.009573892,,,molecular layer|rest
DPYSL2,0.14354546,0.1531507,-0.009605229,,,molecular layer|rest
NDUFB7,0.11409679,0.12374734,-0.009650551,,,molecular layer|rest
DYNLRB1,0.08622692,0.095912434,-0.009685516,,,molecular layer|rest
CNTN1,0.085624784,0.09543837,-0.009813584,,,molecular layer|rest
ENO1,0.17659241,0.18641755,-0.00982514,,,molecular layer|rest
RNF11,0.06825735,0.07838307,-0.010125726,,,molecular layer|rest
HNRNPDL,0.08503299,0.09517447,-0.010141477,,,molecular layer|rest
CSDE1,0.07475432,0.084910564,-0.010156244,,,molecular layer|rest
MGST3,0.10805665,0.11832431,-0.01026766,,,molecular layer|rest
CANX,0.06878888,0.0791372,-0.01034832,,,molecular layer|rest
SEPT5,0.103082106,0.113440216,-0.01035811,,,molecular layer|rest
PTPRG,0.073112935,0.08353032,-0.010417387,,,molecular layer|rest
NCKAP1,0.08009253,0.09052434,-0.010431811,,,molecular layer|rest
DSTN,0.09948633,0.10994584,-0.0104595125,,,molecular layer|rest
ATP5A1,0.16726382,0.17772669,-0.010462865,,,molecular layer|rest
FARP2,0.07231533,0.08279399,-0.01047866,,,molecular layer|rest
CIRBP,0.13249095,0.14298068,-0.010489732,,,molecular layer|rest
PLD3,0.06679753,0.07735346,-0.01055593,,,molecular layer|rest
GOLGA1,0.063067034,0.073640816,-0.010573782,,,molecular layer|rest
PRKACB,0.08291122,0.09368509,-0.010773867,,,molecular layer|rest
NDUFA2,0.11159474,0.122401,-0.0108062625,,,molecular layer|rest
SNRPD2,0.082651086,0.093460485,-0.010809399,,,molecular layer|rest
MAP1B,0.2216288,0.2325462,-0.010917395,,,molecular layer|rest
UBE2D3,0.07338737,0.084410965,-0.011023596,,,molecular layer|rest
NFS1,0.060520176,0.071556754,-0.011036579,,,molecular layer|rest
SUB1,0.08937039,0.10045301,-0.011082619,,,molecular layer|rest
YWHAE,0.18674476,0.19783801,-0.011093244,,,molecular layer|rest
NDUFA11,0.1103289,0.12145215,-0.011123255,,,molecular layer|rest
ATP2B1,0.06869833,0.07984945,-0.01115112,,,molecular layer|rest
PJA2,0.09575074,0.10692426,-0.0111735165,,,molecular layer|rest
MAP2,0.09913954,0.110456005,-0.011316463,,,molecular layer|rest
ROBO2,0.0877686,0.099203385,-0.011434786,,,molecular layer|rest
ALKBH5,0.12620579,0.13764481,-0.011439025,,,molecular layer|rest
CSMD1,0.42256978,0.43401778,-0.011447996,,,molecular layer|rest
SOD1,0.09397409,0.10543262,-0.011458531,,,molecular layer|rest
POLDIP3,0.07009908,0.0816051,-0.011506021,,,molecular layer|rest
ATP6V1E1,0.086953245,0.09852166,-0.011568412,,,molecular layer|rest
EIF4G2,0.06390657,0.07559605,-0.011689477,,,molecular layer|rest
SEC61G,0.072009176,0.08388929,-0.011880115,,,molecular layer|rest
FAM107A,0.20082034,0.21281423,-0.011993885,,,molecular layer|rest
RPL5,0.063451715,0.075501494,-0.012049779,,,molecular layer|rest
SPTBN1,0.12803988,0.14018059,-0.012140706,,,molecular layer|rest
PARK7,0.12379501,0.13594587,-0.012150861,,,molecular layer|rest
ELOB,0.14843564,0.16061015,-0.012174517,,,molecular layer|rest
CLTA,0.08101279,0.09324208,-0.012229286,,,molecular layer|rest
HYPK,0.0698569,0.08209463,-0.012237735,,,molecular layer|rest
ATPIF1,0.2496776,0.26194337,-0.012265772,,,molecular layer|rest
MCU,0.06894581,0.081232555,-0.012286745,,,molecular layer|rest
PDE4D,0.08018353,0.09251906,-0.012335531,,,molecular layer|rest
CHIC2,0.07027804,0.08269614,-0.012418099,,,molecular layer|rest
NME7,0.12778115,0.14023793,-0.012456775,,,molecular layer|rest
