gene,total,composition,within_celltype,pct_composition
CLDND1,-0.00013510834399489604,0.001893317170242674,-0.00202842551423757,-1401.3325263717225
CLIC1,0.006169177268586114,0.006661138114233728,-0.0004919608456476138,107.97449682881886
CLPTM1L,0.007499754099644025,0.0082863939504145,-0.0007866398507704754,110.48887523936035
CLSTN1,0.009510815458185978,0.009751762521073864,-0.00024094706288788526,102.53340067365625
CLTA,-0.0018041147356328948,0.00117045154340387,-0.0029745662790367647,-64.8767797461212
CLTB,0.019736258159724834,0.017930399642772547,0.0018058585169522868,90.85004613165506
CLTC,0.009782525812333779,0.00827365297944449,0.001508872832889288,84.57583591563943
CMIP,0.01631623957368721,0.009304753819211649,0.007011485754475561,57.02756310478054
CMPK1,-0.0010885623323107808,0.0026604172497250783,-0.003748979582035859,-244.3973276273111
CMTM6,0.004152780991127106,0.0013911775604144262,0.0027616034307126796,33.49990195454171
CNBP,-0.0049124088525880705,0.0002935358345771697,-0.00520594468716524,-5.975395032979029
CNIH1,-0.00028415821885159794,0.0020581272849784613,-0.002342285503830059,-724.2891982136618
CNN2,0.0015656790578335291,-0.002086228881020946,0.0036519079388544753,-133.24754333162733
CNN3,0.007512950736568936,0.013170881083457611,-0.005657930346888675,175.309030303486
CNOT1,0.00025018558369981856,-0.0001489696839083489,0.00039915526760816745,-59.543672223371566
COL1A1,0.13961471344419782,0.06050828325924854,0.07910643018494927,43.33947459157513
COL1A2,0.041232134497630565,0.04026455123595879,0.0009675832616717762,97.65332725685744
COL27A1,0.026017781762497846,0.017614966233193037,0.00840281552930481,67.70356671445116
COL3A1,0.04575324191874522,0.039624953237986114,0.006128288680759108,86.60578262051344
COL4A1,0.005521053015032482,0.0049014313980446055,0.0006196216169878766,88.77711162524979
COL4A2,0.01341926093159319,0.010592264652192856,0.0028269962794003336,78.93329376475056
COL5A1,0.01893460438019651,0.015364970188473276,0.003569634191723235,81.14756389916086
COL5A2,0.00655734118803284,0.004941589383595848,0.001615751804436991,75.35965022857525
COL6A1,0.008161671229584264,0.00844845549613151,-0.0002867842665472458,103.5137934190208
COL6A2,0.008623820333497127,0.005759378173302504,0.0028644421601946215,66.78453342692686
COL6A3,0.012424778681946299,0.010319358436369747,0.002105420245576553,83.05466600676107
COMMD6,-0.016605340392548906,-0.012076863538272389,-0.004528476854276518,72.72879238110336
COMT,0.0065663400546317075,0.006160579696460822,0.00040576035817088484,93.82060090103508
COPA,0.0027492140834967657,0.0028830339803030307,-0.00013381989680626475,104.86756915765751
COPB2,-0.0003816217099884985,0.0038319242308706264,-0.004213545940859125,-1004.1158903108826
COPE,0.0005914306356539977,-0.0008985028622242495,0.0014899334978782472,-151.92024356849464
COPG1,0.0035998772169910727,0.00376577368841582,-0.00016589647142474734,104.60839249299204
COPS9,-0.004588818274271212,0.0033324584866481844,-0.007921276760919397,-72.6212782348074
COPZ1,0.0008874117975781921,0.004678841796439084,-0.0037914299988608922,527.2458411312499
COTL1,-0.026195216774586937,-0.014681323786004785,-0.011513892988582153,56.045819022378716
COX4I1,-0.013458432125182275,-0.0043242672797000805,-0.009134164845482195,32.13054269233099
COX5A,-0.003506695997594559,0.002080859637924106,-0.005587555635518665,-59.33960740684351
COX5B,0.006103732202669508,0.007146381322801916,-0.0010426491201324082,117.08215703953064
COX6A1,0.006347796370278339,0.010475579446007743,-0.004127783075729404,165.02702410330167
COX6B1,0.0010255179383764225,0.0019256183616988484,-0.000900100423322426,187.77032459787543
COX6C,0.016691093715853776,0.021827674374070648,-0.005136580658216873,130.77438031120735
COX7A2,0.002904450419609233,0.00934822872870308,-0.006443778309093848,321.8587814613409
COX7A2L,-0.004738777133490645,-0.0023718899488542897,-0.002366887184636355,50.05278539248636
