gene,mean_bulge,mean_dent,lfc
WDR36,0.023020817,0.02229689,0.00072392635
ENSG00000291186,0.027312463,0.026590094,0.0007223692
UBC,0.22601016,0.22529429,0.0007158667
SUPT5H,0.038678046,0.03796253,0.0007155165
NUP42,0.02816762,0.027453959,0.0007136613
NIFK,0.034152407,0.03344008,0.00071232766
CFDP1,0.022259021,0.021551382,0.0007076394
CTBP2,0.026973445,0.02626642,0.0007070247
IFI27L2,0.031985752,0.03128217,0.0007035807
OCIAD1,0.045610275,0.04491215,0.00069812685
LRRC58,0.02756435,0.026868584,0.0006957669
NCOA4,0.03152153,0.03083128,0.0006902497
YY1,0.05795521,0.057269335,0.0006858744
CDC37,0.058071364,0.057387616,0.00068374723
RUBCN,0.023995815,0.023314303,0.00068151206
EIF1AX,0.030971132,0.030292315,0.0006788168
ERBIN,0.030623404,0.029945692,0.00067771226
MRPS35,0.12012343,0.11944654,0.0006768927
ITPR2,0.04925614,0.048579447,0.00067669153
SLC30A9,0.0269901,0.026315385,0.00067471527
DYRK1A,0.025500035,0.024827883,0.00067215227
RAE1,0.028063437,0.027391873,0.00067156367
NCBP2AS2,0.03818739,0.03751596,0.0006714277
SAMD9,0.021759158,0.021089101,0.0006700568
ZDHHC7,0.025147693,0.02447813,0.0006695632
TCERG1,0.030038262,0.029373262,0.0006649997
DNAJC5,0.03192905,0.03126602,0.0006630309
PRDX3,0.023782467,0.02312284,0.00065962784
CPSF7,0.03525675,0.034597505,0.000659246
LUC7L3,0.05205419,0.05139576,0.00065843016
UQCR10,0.10345872,0.10280247,0.00065624714
LARP4,0.029242905,0.028586898,0.00065600686
DROSHA,0.03658598,0.03593587,0.00065010786
VPS72,0.02378715,0.023137541,0.0006496087
COX7A2L,0.044577185,0.043928873,0.00064831227
HACD3,0.041087374,0.040440388,0.00064698607
PRKCA,0.028705131,0.028060371,0.0006447602
DCTN2,0.04815417,0.047510162,0.00064400956
SNAP29,0.022268279,0.021629507,0.0006387718
ANP32A,0.037484583,0.036847692,0.00063689053
RASAL2,0.041989245,0.04135293,0.0006363131
ADAM15,0.02789602,0.027262788,0.0006332323
CHST11,0.032309245,0.031676088,0.0006331578
GPR176,0.023291912,0.022658937,0.00063297525
RSL24D1,0.028698966,0.028066881,0.0006320849
C5orf22,0.022860182,0.022228109,0.00063207373
HPRT1,0.02583639,0.025205476,0.0006309133
DNAJC15,0.03767377,0.03704543,0.000628341
IFNGR1,0.049947415,0.049319733,0.0006276816
RING1,0.025503503,0.024876505,0.000626998
NSMAF,0.025740707,0.02511734,0.0006233677
RABAC1,0.0323389,0.03171673,0.0006221682
PATL1,0.038332105,0.03771408,0.00061802566
VDAC3,0.06207181,0.061455354,0.0006164573
TRIM8,0.023704302,0.023087904,0.0006163977
BAZ2A,0.025151564,0.02453883,0.0006127339
RAB5IF,0.034212444,0.03360015,0.00061229244
PHIP,0.03826812,0.037657104,0.00061101466
ACP1,0.039439503,0.038829662,0.0006098412
AP3B1,0.022825632,0.022215977,0.00060965493
SMIM22,0.023990396,0.023381157,0.00060923956
SPG21,0.051441148,0.050833274,0.00060787424
PTPN11,0.032558966,0.03195331,0.0006056577
GNG5,0.052084997,0.05148123,0.000603769
AIMP2,0.0480484,0.047445852,0.0006025471
GTF3C3,0.023609329,0.023007367,0.0006019622
STAT3,0.04189973,0.041301664,0.00059806556
EIF5B,0.06012584,0.0595357,0.00059013814
MIR4458HG,0.047900304,0.047317557,0.00058274716
KIF3B,0.025332298,0.024755223,0.0005770754
PSMD10,0.023233784,0.022656841,0.00057694316
PSMD14,0.046762332,0.04618665,0.000575684
IDH2,0.024295859,0.023720304,0.0005755555
DESI1,0.021736847,0.021162,0.0005748477
ISG20L2,0.021230094,0.020656826,0.00057326816
OPA1,0.03914343,0.038572162,0.0005712658
GSN,0.062004607,0.06143601,0.0005685985
ZC3H15,0.024629094,0.024060518,0.00056857616
PRPF19,0.04307586,0.042508297,0.0005675629
RPL36A,0.021916261,0.021351052,0.0005652085
RNF4,0.025062567,0.024498755,0.0005638115
GPR107,0.025691435,0.02512918,0.00056225434
MTDH,0.10183637,0.10127438,0.00056198984
DTD1,0.030275596,0.029715639,0.0005599577
ELP5,0.032294057,0.031734377,0.00055968016
THOC3,0.023826227,0.02326689,0.00055933744
SNAPIN,0.023549844,0.022990556,0.00055928715
DIDO1,0.02366539,0.023106158,0.0005592331
SERINC5,0.03041086,0.029853465,0.0005573947
GDE1,0.023448393,0.022891186,0.0005572066
VPS4A,0.027278928,0.026725153,0.0005537756
RHBDF2,0.022209711,0.021656241,0.0005534701
BOP1,0.027168743,0.026616726,0.00055201724
BBLN,0.025865657,0.025316335,0.000549322
SBF1,0.022895485,0.022346396,0.00054908916
OSTC,0.05536854,0.054820858,0.000547681
