gene,mean_bulge,mean_dent,lfc,p_geomnull,null_sd,interface,dataset,specimen
AT1G27320,0.15567113,0.13272542,0.022945717,,,epidermis|rest,acsta_arabidopsis,
AT5G40370,0.18703826,0.16420114,0.022837117,,,epidermis|rest,acsta_arabidopsis,
AT2G42590,0.27836367,0.25582543,0.022538245,,,epidermis|rest,acsta_arabidopsis,
AT5G67480,0.17766714,0.15519018,0.022476956,,,epidermis|rest,acsta_arabidopsis,
AT2G40270,0.21795143,0.19562794,0.02232349,,,epidermis|rest,acsta_arabidopsis,
AT2G43970,0.32425886,0.30208945,0.022169411,,,epidermis|rest,acsta_arabidopsis,
AT3G03870,0.19655302,0.17464282,0.021910205,,,epidermis|rest,acsta_arabidopsis,
AT2G01440,0.1617138,0.13988298,0.021830812,,,epidermis|rest,acsta_arabidopsis,
AT4G26630,0.21863109,0.19687656,0.021754533,,,epidermis|rest,acsta_arabidopsis,
AT3G15730,0.37667415,0.35495767,0.021716475,,,epidermis|rest,acsta_arabidopsis,
AT2G26980,0.16768244,0.14600968,0.021672755,,,epidermis|rest,acsta_arabidopsis,
AT2G30870,0.18773423,0.1661479,0.021586329,,,epidermis|rest,acsta_arabidopsis,
AT2G40140,0.14552094,0.12394894,0.021572001,,,epidermis|rest,acsta_arabidopsis,
AT2G35680,0.169694,0.14813608,0.021557927,,,epidermis|rest,acsta_arabidopsis,
