gene,obs_lfc,null_sd,p_geomnull,interface,dataset,specimen
eEF1alpha1,0.41686952,0.0571270819192534,0.0049751243781094,midgut primordium,flysta3d_v2_drosophila,PUPA-72h_cellbin
lncRNA:CR40469,0.35995603,0.1185677422421441,0.0945273631840796,midgut primordium,flysta3d_v2_drosophila,PUPA-72h_cellbin
RpLP2,0.35935974,0.1023862598118775,0.0149253731343283,midgut primordium,flysta3d_v2_drosophila,PUPA-72h_cellbin
RpL36,0.3371994,0.0675962780403048,0.0099502487562189,midgut primordium,flysta3d_v2_drosophila,PUPA-72h_cellbin
lncRNA:CR34335,0.33650696,0.1226889524494701,0.0845771144278607,midgut primordium,flysta3d_v2_drosophila,PUPA-72h_cellbin
CG44013,-0.4622208,0.1354501595637875,0.0049751243781094,midgut primordium,flysta3d_v2_drosophila,PUPA-72h_cellbin
Ag5r2,-0.51032495,0.1278098440629425,0.0049751243781094,midgut primordium,flysta3d_v2_drosophila,PUPA-72h_cellbin
CG43218,-0.8734791,0.2581009183374779,0.0049751243781094,midgut primordium,flysta3d_v2_drosophila,PUPA-72h_cellbin
CG18180,-1.259403,0.2928295367566649,0.0049751243781094,midgut primordium,flysta3d_v2_drosophila,PUPA-72h_cellbin
CG42397,-1.2841693,0.2612339899966049,0.0049751243781094,midgut primordium,flysta3d_v2_drosophila,PUPA-72h_cellbin
Drsl2,-1.3446101,0.3200814151790555,0.0049751243781094,midgut primordium,flysta3d_v2_drosophila,PUPA-72h_cellbin
Acp65Aa,0.72832894,0.1427482799023602,0.0049751243781094,epidermis,flysta3d_v2_drosophila,PUPA-72h_cellbin
lncRNA:CR40469,0.7055471,0.0704798759963492,0.0049751243781094,epidermis,flysta3d_v2_drosophila,PUPA-72h_cellbin
lncRNA:CR34335,0.6960285,0.0744777136926738,0.0049751243781094,epidermis,flysta3d_v2_drosophila,PUPA-72h_cellbin
Cpr49Ah,0.68707275,0.1103347234320704,0.0049751243781094,epidermis,flysta3d_v2_drosophila,PUPA-72h_cellbin
CG13231,0.6696242,0.1512797075158177,0.1044776119402985,epidermis,flysta3d_v2_drosophila,PUPA-72h_cellbin
Cpr30B,0.6672399,0.1797637749233297,0.2537313432835821,epidermis,flysta3d_v2_drosophila,PUPA-72h_cellbin
Act88F,-0.062606215,0.0269990992889892,0.1343283582089552,epidermis,flysta3d_v2_drosophila,PUPA-72h_cellbin
28SrRNA-Psi:CR45859,-0.07773578,0.0339348731085367,0.9850746268656716,epidermis,flysta3d_v2_drosophila,PUPA-72h_cellbin
mt:ND5,-0.098757535,0.0198184487705905,0.2786069651741293,epidermis,flysta3d_v2_drosophila,PUPA-72h_cellbin
