interface,gene,mean_bulge,mean_dent,lfc,p_geomnull,null_sd
l3,SMESG000052833.1,0.040781677,0.09629914,-0.055517465,,
l3,SMESG000081754.1,0.046598345,0.102147594,-0.05554925,,
l3,SMESG000011539.1,0.035749268,0.091412164,-0.055662896,,
l3,SMESG000008222.1,0.07646595,0.13227095,-0.055804998,,
l3,SMESG000016669.1,0.046010155,0.10182722,-0.055817064,,
l3,SMESG000028157.1,0.13424073,0.19011353,-0.055872798,,
l3,SMESG000057052.1,0.05502927,0.11104057,-0.0560113,,
l3,SMESG000055008.1,0.04006278,0.09613891,-0.056076128,,
l3,SMESG000037135.1,0.077707976,0.13379334,-0.056085363,,
l3,SMESG000067683.1,0.085485294,0.14164433,-0.056159034,,
l3,SMESG000066841.1,0.04339592,0.099583946,-0.056188025,,
l3,SMESG000010755.1,0.088818245,0.14500912,-0.05619087,,
l3,SMESG000017173.1,0.041696638,0.097901404,-0.056204766,,
l3,SMESG000027795.1,0.044441648,0.100785695,-0.056344047,,
l3,SMESG000070850.1,0.064440496,0.1208146,-0.056374103,,
l3,SMESG000053650.1,0.047709417,0.10415057,-0.056441154,,
l3,SMESG000057467.1,0.045683395,0.10222771,-0.056544315,,
l3,SMESG000020501.1,0.046532985,0.10310884,-0.056575853,,
l3,SMESG000078697.1,0.08672674,0.14340684,-0.0566801,,
l3,SMESG000060389.1,0.04319989,0.09990447,-0.05670458,,
l3,SMESG000009106.1,0.066205114,0.12297783,-0.056772716,,
l3,SMESG000009711.1,0.06385237,0.12065439,-0.05680202,,
l3,SMESG000023063.1,0.14156048,0.19844553,-0.05688505,,
l3,SMESG000026239.1,0.04875513,0.10575283,-0.0569977,,
l3,SMESG000072847.1,0.040389568,0.09742068,-0.05703111,,
l3,SMESG000034829.1,0.050846484,0.10807599,-0.057229508,,
l3,SMESG000038117.1,0.041043095,0.09830201,-0.05725891,,
l3,SMESG000072545.1,0.05666311,0.113924555,-0.057261445,,
l3,SMESG000035884.1,0.0660092,0.1232984,-0.057289198,,
l3,SMESG000075857.1,0.04136989,0.09878274,-0.05741285,,
l3,SMESG000019808.1,0.044180166,0.10166694,-0.057486776,,
l3,SMESG000072786.1,0.05234961,0.1098386,-0.05748899,,
l3,SMESG000072630.1,0.058427766,0.115927584,-0.05749982,,
l3,SMESG000026208.1,0.051826824,0.10943824,-0.057611417,,
l3,SMESG000039857.1,0.07561638,0.1332324,-0.057616018,,
l3,SMESG000061749.1,0.05346073,0.111360975,-0.057900246,,
l3,SMESG000040163.1,0.052088227,0.11007912,-0.05799089,,
l3,SMESG000029088.1,0.05051964,0.10855684,-0.058037195,,
l3,SMESG000072876.1,0.043199893,0.10126632,-0.058066424,,
l3,SMESG000019986.1,0.05241503,0.110719875,-0.058304846,,
l3,SMESG000077202.1,0.46200246,0.52050704,-0.05850458,,
l3,SMESG000029410.1,0.04065094,0.09926345,-0.05861251,,
l3,SMESG000044485.1,0.05888524,0.11769012,-0.058804885,,
l3,SMESG000010413.1,0.051107876,0.109998964,-0.058891088,,
l3,SMESG000069520.1,0.061826292,0.120814644,-0.05898835,,
l3,SMESG000010381.1,0.045029797,0.10407041,-0.059040613,,
l3,SMESG000011518.1,0.04398412,0.103028946,-0.059044827,,
l3,SMESG000046116.1,0.053918213,0.11296327,-0.059045054,,
l3,SMESG000038553.1,0.06881934,0.12786485,-0.059045516,,
l3,SMESG000037231.1,0.05653239,0.11560703,-0.05907464,,
l3,SMESG000010283.1,0.059212063,0.118331075,-0.059119012,,
l3,SMESG000051885.1,0.045879457,0.10503184,-0.059152383,,
l3,SMESG000066078.1,0.0597349,0.11889186,-0.059156958,,
l3,SMESG000014112.1,0.049735405,0.10895749,-0.059222087,,
l3,SMESG000062633.1,0.05515994,0.11440534,-0.0592454,,
l3,SMESG000061907.1,0.06261051,0.12201633,-0.059405826,,
l3,SMESG000056546.1,0.056989897,0.116408244,-0.059418347,,
l3,SMESG000066687.1,0.05417963,0.113684304,-0.059504673,,
l3,SMESG000078985.1,0.044245575,0.1038301,-0.059584524,,
l3,SMESG000069889.1,0.055029258,0.114645705,-0.059616446,,
l3,SMESG000066554.1,0.040585615,0.100224875,-0.05963926,,
l3,SMESG000011290.1,0.05816634,0.1178504,-0.05968406,,
l3,SMESG000079273.1,0.042938426,0.102708265,-0.05976984,,
l3,SMESG000053935.1,0.051826797,0.11160127,-0.059774473,,
l3,SMESG000037707.1,0.070976056,0.1309891,-0.06001305,,
l3,SMESG000041811.1,0.06280653,0.12289766,-0.06009113,,
l3,SMESG000073334.1,0.12946962,0.18963294,-0.06016332,,
l3,SMESG000014474.1,0.049343284,0.109518275,-0.06017499,,
l3,SMESG000024968.1,0.05849311,0.11873172,-0.06023861,,
l3,SMESG000009145.1,0.052545767,0.112883165,-0.0603374,,
l3,SMESG000027938.1,0.046925142,0.10727504,-0.060349897,,
l3,SMESG000009582.1,0.041631334,0.10198741,-0.060356073,,
l3,SMESG000032743.1,0.059996247,0.12041402,-0.06041777,,
l3,SMESG000012672.1,0.088883586,0.14933524,-0.06045165,,
l3,SMESG000075349.1,0.050127573,0.11063986,-0.06051229,,
l3,SMESG000031703.1,0.055159945,0.11576729,-0.060607348,,
l3,SMESG000061468.1,0.0313051,0.091972925,-0.060667824,,
l3,SMESG000012475.1,0.05797027,0.118651666,-0.060681395,,
l3,SMESG000023987.1,0.07548582,0.13627678,-0.060790963,,
l3,SMESG000044888.1,0.06470192,0.12562153,-0.060919605,,
l3,SMESG000026676.1,0.05182681,0.11280307,-0.060976263,,
l3,SMESG000074509.1,0.033919316,0.09517757,-0.061258253,,
l3,SMESG000065727.1,0.14691968,0.20821948,-0.0612998,,
l3,SMESG000006795.1,0.045029804,0.10639375,-0.061363943,,
l3,SMESG000011768.1,0.046663694,0.10815631,-0.061492614,,
l3,SMESG000074831.1,0.031435814,0.0929343,-0.06149849,,
l3,SMESG000069827.1,0.054114223,0.115767404,-0.061653182,,
l3,SMESG000051237.1,0.069472894,0.13114941,-0.061676517,,
l3,SMESG000026631.1,0.045552667,0.107275054,-0.061722387,,
l3,SMESG000032344.1,0.0440495,0.105833,-0.0617835,,
l3,SMESG000025422.1,0.037317842,0.09910322,-0.061785378,,
l3,SMESG000063653.1,0.049866132,0.11176157,-0.061895438,,
l3,SMESG000042131.1,0.036860343,0.09902302,-0.06216268,,
l3,SMESG000000703.1,0.0867267,0.1489346,-0.0622079,,
l3,SMESG000049117.1,0.06430978,0.12658298,-0.062273197,,
l3,SMESG000034225.1,0.04235024,0.10463123,-0.06228099,,
l3,SMESG000044312.1,0.05326464,0.11560712,-0.06234248,,
l3,SMESG000025747.1,0.04816692,0.11055985,-0.06239293,,
l3,SMESG000004726.1,0.05999624,0.122497104,-0.062500864,,
l3,SMESG000060349.1,0.051892202,0.114405446,-0.06251325,,
l3,SMESG000008815.1,0.057316665,0.11985329,-0.06253663,,
l3,SMESG000081696.1,0.084962256,0.14773306,-0.062770806,,
l3,SMESG000023010.1,0.03463825,0.09742078,-0.06278253,,
l3,SMESG000040292.1,0.050911803,0.11376434,-0.06285253,,
l3,SMESG000021174.1,0.061499514,0.12449998,-0.06300046,,
l3,SMESG000020075.1,0.08600786,0.14909498,-0.06308712,,
l3,SMESG000031906.1,0.040520296,0.10366994,-0.063149646,,
l3,SMESG000038869.1,0.065028675,0.12818527,-0.0631566,,
l3,SMESG000078773.1,0.16155957,0.22472322,-0.06316365,,
l3,SMESG000047091.1,0.05463714,0.11785039,-0.06321325,,
l3,SMESG000064394.1,0.049735397,0.113203704,-0.06346831,,
l3,SMESG000081526.1,0.029605854,0.093094565,-0.06348871,,
l3,SMESG000041117.1,0.07300207,0.13651702,-0.06351495,,
l3,SMESG000014949.1,0.090059996,0.15358147,-0.063521475,,
